Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
Palladium Myr,,U,1227,94.0,55.3,228,,2
Liliana's Devotee,B,U,1247,95.6,55.3,233,,2
Woodland Stream,,C,958,65.4,55.2,193,,2
Griffin Sentinel,W,C,1547,73.4,55.2,284,,2
Sanctum of Stone Fangs,B,U,750,80.6,55.2,117,,2
Gift of Paradise,G,C,1636,75.0,55.2,324,,2
Volcanic Dragon,R,U,1044,78.2,55.2,178,,2
Spit Flame,R,R,533,94.2,55.2,98,,2
Ogre Siegebreaker,BR,U,526,58.5,55.1,90,,1
Reduce to Ashes,R,C,2491,80.0,55.1,454,,2
Angel of Vitality,W,U,909,94.5,55.1,175,,2
Anvilwrought Raptor,,C,891,47.7,55.1,152,,1
Solemn Simulacrum,,R,539,97.3,55.1,97,,2
Giant Spider,G,C,1403,65.2,55.1,249,,2
Draconic Disciple,RG,U,817,77.4,55.1,153,,2
Rhox Oracle,G,C,2754,80.5,55.0,577,52.3%,2
Flame Sweep,R,U,625,75.2,55.0,115,,2
Greenwood Sentinel,G,C,1690,77.4,55.0,336,,2
Highland Game,G,C,1348,61.4,55.0,265,,2
Hungering Hydra,G,R,504,95.6,55.0,82,,2
Diregraf Ghoul,B,U,615,75.0,55.0,123,,2
Brightwood Tracker,G,C,1785,70.6,55.0,313,,2
Foul Orchard,,C,819,60.8,54.9,134,,2
Caged Zombie,B,C,1083,55.0,54.9,220,,1
Heart-Piercer Bow,,C,1023,43.7,54.9,199,,1
Centaur Courser,G,C,1806,68.2,54.9,344,,2
Hobblefiend,R,C,2117,72.9,54.9,431,,2
Unsubstantiate,U,U,975,85.0,54.9,171,,2
Carrion Grub,B,U,549,58.2,54.8,90,,1
Cerulean Drake,U,U,664,73.4,54.8,137,,2
Moldervine Reclamation,BG,U,772,76.4,54.8,145,,2
Secure the Scene,W,C,1012,53.3,54.7,179,,1
Falconer Adept,W,U,813,83.9,54.7,142,,2
Jungle Hollow,,C,857,64.1,54.7,157,,2
Macabre Waltz,B,C,1422,58.2,54.7,222,,1
Uncomfortable Chill,U,C,1143,49.7,54.7,185,,1
Library Larcenist,U,C,1364,62.8,54.6,279,,2
Wishcoin Crab,U,C,824,37.0,54.6,148,,1
"Atemsis, All-Seeing",U,R,533,88.5,54.6,84,,2
Volcanic Geyser,R,U,1066,89.6,54.6,180,,2
Befuddle,U,C,1285,49.5,54.6,216,,1
Pestilent Haze,B,U,517,70.5,54.5,95,,2
Battle-Rattle Shaman,R,U,1014,82.6,54.5,195,,2
Warded Battlements,W,C,849,53.6,54.5,164,,1
Mammoth Spider,G,C,1772,73.4,54.5,316,,2
Sparktongue Dragon,R,C,1888,72.6,54.5,354,,2
Snarespinner,G,C,2296,82.6,54.5,416,,2
Garruk's Uprising,G,U,652,74.9,54.4,116,,2
Pridemalkin,G,C,2553,84.7,54.4,472,,2
"Golos, Tireless Pilgrim",,R,610,90.4,54.4,107,,2
Twinblade Assassins,BG,U,877,74.1,54.4,170,,2
Highland Lake,,C,789,55.4,54.4,124,,1
Submerged Boneyard,,C,1014,66.4,54.3,175,,2
Spined Megalodon,U,C,1491,59.3,54.3,224,,1
Ironroot Warlord,WG,U,615,73.7,54.3,105,,2
Ornery Dilophosaur,G,C,851,55.4,54.3,151,,1
Forsaken Sanctuary,,C,785,54.5,54.3,137,,1
Convolute,U,C,699,40.1,54.2,128,,1
Thicket Crasher,G,C,2145,85.3,54.2,386,,2
Radiant Fountain,,C,594,42.5,54.2,104,,1
Gargoyle Sentinel,,U,696,76.7,54.2,122,,2
Gnarled Sage,G,C,1597,67.2,54.2,290,,2
Wall of Runes,U,C,988,52.7,54.1,170,,1
Arcane Encyclopedia,,U,687,69.7,54.1,123,,2
Woodland Champion,G,U,839,75.4,54.1,144,,1
Cinder Barrens,,C,621,47.8,54.1,116,,1
Ravenous Harpy,B,U,734,73.5,54.1,138,,1
Demanding Dragon,R,R,601,92.2,54.1,116,,2
Tavern Swindler,B,U,653,72.3,54.1,118,,1
Reassembling Skeleton,B,U,838,83.7,54.1,143,,2
Setessan Training,G,C,1758,72.8,54.0,342,,1
Bone Pit Brute,R,C,842,44.3,54.0,135,,1
Bone Splinters,B,C,2380,83.7,54.0,425,,1
Reclamation Sage,G,U,885,79.4,54.0,152,,1
Prismite,,C,1313,56.5,54.0,251,,1
Trusty Packbeast,W,C,589,35.0,54.0,109,,1
Turn to Slag,R,C,1720,70.5,54.0,284,,1
Wolfrider's Saddle,G,U,1226,91.3,53.8,209,,1
Child of Night,B,C,2013,80.7,53.8,400,,1
Rogue's Gloves,,U,554,83.8,53.8,101,,1
Explosive Apparatus,,C,705,38.9,53.8,120,,1
Teferi's Tutelage,U,U,1093,89.1,53.7,237,,1
Fire Elemental,R,C,559,32.3,53.7,101,,1
Switcheroo,U,U,650,73.0,53.5,128,,1
Silent Dart,,C,682,39.0,53.5,130,,1
Read the Tides,U,C,1639,65.8,53.5,258,,1
Daggerback Basilisk,G,C,1726,77.5,53.4,333,,1
Wildwood Scourge,G,U,994,94.4,53.3,176,,1
Psychic Corrosion,U,U,713,76.8,53.3,129,,1
Daggersail Aeronaut,R,C,1295,59.4,53.3,244,,1
Sabertooth Mauler,G,C,1759,78.7,53.3,289,,1
Rise Again,B,C,1308,56.1,53.2,214,,1
Two-Headed Zombie,B,C,765,44.3,53.2,147,,1
Renowned Weaponsmith,U,U,583,55.4,53.2,98,,1
Nightpack Ambusher,G,R,531,89.4,53.1,95,,1
Catalyst Elemental,R,C,539,32.1,53.1,94,,0
Tranquil Expanse,,C,632,54.7,53.0,114,,0
Witch's Cauldron,B,U,506,64.5,53.0,89,,0
Talons of Wildwood,G,C,975,55.2,52.9,154,,0
Rupture Spire,,U,650,70.3,52.9,113,,0
Feral Abomination,B,C,664,42.3,52.7,111,,0
Pulse of Murasa,G,U,815,77.0,52.6,138,,1
Alchemist's Gift,B,C,827,49.3,52.6,128,,0
Season of Growth,G,U,565,76.8,52.6,96,,1
Blossoming Sands,,C,788,57.5,52.5,124,,0
Ferocious Pup,G,C,1243,59.8,52.5,268,,0
Bloodsoaked Altar,B,U,605,62.3,52.4,86,,0
Cultivate,G,U,981,92.7,52.4,181,,1
Vodalian Arcanist,U,C,1735,61.6,52.3,346,,0
Scholar of Stars,U,C,952,46.8,52.3,182,,0
Lightning Mare,R,U,796,75.2,52.3,142,,1
Soulmender,W,C,655,48.4,52.2,121,,0
Elvish Rejuvenator,G,C,2513,85.8,52.2,457,,1
Pursued Whale,U,R,528,95.5,52.1,82,,1
Diamond Knight,,U,584,79.6,52.1,107,,1
Track Down,G,C,957,50.6,52.0,197,,0
Burlfist Oak,G,U,582,77.4,51.9,108,,1
Vial of Dragonfire,,C,1052,44.4,51.8,202,,0
Gloom Sower,B,C,833,56.1,51.7,125,,0
Siegebreaker Giant,R,U,592,66.6,51.5,97,,0
Ripscale Predator,R,C,603,40.8,51.4,94,,0
Loaming Shaman,G,U,508,64.5,51.4,83,,0
Sage's Row Denizen,U,C,963,48.7,51.3,201,,0
Chandra's Pyreling,R,U,509,57.3,51.1,101,,0
Wolfkin Bond,G,C,831,42.5,50.8,150,,0
Portcullis Vine,G,C,695,39.9,50.2,131,,0
Rise from the Grave,B,U,634,76.5,50.2,104,,1
Colossal Majesty,G,U,627,68.4,50.1,102,,0
Wedding Announcement,W,R,4040,91.6,63.0,733,74.4%,4
Devoted Grafkeeper,WU,U,4333,59.7,62.4,928,62.4%,3
Brine Comber,WU,U,4180,59.5,62.2,847,60.9%,3
Grafted Identity,U,R,4297,90.4,62.1,707,66.3%,4
Overcharged Amalgam,U,R,3958,88.5,61.9,710,64.8%,4
Dreadfeast Demon,B,R,4039,92.6,61.7,663,66.1%,4
Henrika Domnathi,B,M,1524,87.2,61.7,262,,4
Diver Skaab,U,U,5823,82.9,61.7,1025,62.4%,4
"Dennick, Pious Apprentice",WU,R,2881,67.4,61.5,541,67.1%,3
Revenge of the Drowned,U,C,17002,85.1,61.5,3661,61.4%,4
"Katilda, Dawnhart Martyr",W,R,3260,84.3,61.4,581,65.2%,4
The Meathook Massacre,B,M,1643,84.0,61.4,288,,4
Welcoming Vampire,W,R,3126,87.1,61.4,564,67.4%,4
Dreamshackle Geist,U,R,4114,90.2,61.3,743,65.4%,4
Moonveil Regent,R,M,1546,87.4,61.3,293,,4
Sludge Monster,U,R,4198,89.5,61.2,710,67.5%,4
Faithbound Judge,W,M,1308,83.4,61.2,234,,4
Geistlight Snare,U,U,2020,40.7,61.1,341,,2
"Adeline, Resplendent Cathar",W,R,3072,87.9,61.1,566,67.0%,4
Lunarch Veteran,W,C,11772,80.7,61.0,2541,63.5%,4
Sungold Sentinel,W,R,2896,83.4,61.0,535,66.0%,4
Chaplain of Alms,W,U,5010,83.6,61.0,948,61.8%,4
Skaab Wrangler,U,U,7147,82.1,60.9,1409,60.6%,4
Ambitious Farmhand,W,U,5532,84.9,60.9,1070,62.2%,4
Shipwreck Sifters,U,C,6349,46.1,60.9,1575,63.3%,3
"Dorothea, Vengeful Victim",WU,R,2022,67.7,60.8,374,,3
Overwhelmed Archivist,U,U,7858,87.7,60.7,1468,64.0%,4
Startle,U,C,13252,76.2,60.7,2821,60.5%,4
Angelfire Ignition,WR,R,2779,68.4,60.7,502,64.7%,3
Larder Zombie,U,C,9793,56.4,60.6,1876,62.7%,3
Nebelgast Intruder,U,U,5784,86.4,60.6,1035,60.2%,4
Borrowed Time,W,U,4114,88.4,60.6,723,60.9%,4
"Florian, Voldaren Scion",BR,R,2363,68.7,60.6,402,,4
Sorin the Mirthless,B,M,1399,89.1,60.5,253,,4
Cemetery Desecrator,B,M,1786,89.1,60.5,311,,4
Suspicious Stowaway,U,R,3891,87.4,60.4,729,68.7%,4
Flip the Switch,U,C,11601,71.4,60.4,2404,63.1%,4
Blessed Defiance,W,C,5836,48.6,60.4,1067,58.0%,3
Vampires' Vengeance,R,U,2367,57.1,60.3,445,,3
Graveyard Trespasser,B,R,3207,88.8,60.3,575,59.8%,4
Duelcraft Trainer,W,U,4212,84.9,60.3,771,61.9%,4
Lantern Bearer,U,C,16315,85.4,60.3,3532,62.7%,4
Valorous Stance,W,U,3959,83.5,60.2,702,60.7%,4
Lunar Rejection,U,U,6329,84.4,60.2,1111,58.0%,4
Organ Hoarder,U,C,17275,87.0,60.2,3855,61.8%,4
Stormchaser Drake,U,U,4895,80.0,60.2,972,62.4%,4
No Way Out,B,C,3530,34.8,60.2,641,55.5%,2
Hullbreaker Horror,U,R,3846,90.8,60.2,605,61.7%,4
Malevolent Hermit,U,R,4194,88.7,60.2,750,62.5%,4
Cathar Commando,W,C,7458,75.8,60.2,1528,60.7%,4
Spectral Adversary,U,M,1739,89.8,60.1,303,,4
Brutal Cathar,W,R,3167,88.4,60.1,560,65.9%,4
Biolume Egg,U,U,4952,62.2,60.1,965,61.9%,3
Ecstatic Awakener,B,C,14913,81.9,60.1,3296,65.1%,4
Parasitic Grasp,B,U,4979,89.0,60.1,928,63.8%,4
Fierce Retribution,W,C,9113,84.7,60.0,1793,62.3%,4
Falcon Abomination,U,C,13162,86.1,60.0,2774,61.8%,4
Lantern Flare,W,R,3113,78.8,60.0,529,59.5%,4
"Liesa, Forgotten Archangel",WB,R,2728,78.3,60.0,459,,4
Twinblade Geist,W,U,4870,86.1,60.0,930,61.4%,4
Nurturing Presence,W,C,4889,43.3,60.0,992,58.5%,2
Enduring Angel,W,M,1216,83.5,60.0,193,,4
Volatile Arsonist,R,M,1410,85.2,59.9,265,,4
Covetous Castaway,U,U,7020,83.8,59.9,1379,58.5%,4
Search Party Captain,W,C,9921,77.9,59.9,1977,58.7%,4
"Toxrill, the Corrosive",B,M,1639,91.7,59.9,274,,4
Morbid Opportunist,B,U,4967,86.5,59.9,942,63.7%,4
Angelic Quartermaster,W,U,3934,85.2,59.9,609,60.6%,4
Scattered Thoughts,U,C,10627,63.2,59.8,1866,59.3%,3
Fading Hope,U,U,3817,76.7,59.8,717,58.7%,4
Cemetery Protector,W,M,1471,83.1,59.8,245,,4
Baithook Angler,U,C,16622,82.7,59.8,3809,59.9%,4
Skull Skaab,UB,U,2740,61.1,59.8,523,62.3%,3
Resistance Squad,W,U,3266,84.4,59.8,594,59.3%,4
Fleshtaker,WB,U,2413,57.5,59.8,450,,3
Traveling Minister,W,C,11950,80.2,59.8,2606,63.4%,4
Foul Play,B,U,4686,86.5,59.8,840,59.5%,4
Beloved Beggar,W,U,3271,65.2,59.7,573,58.6%,3
Voltaic Visionary,R,U,6261,82.5,59.7,1227,63.5%,4
Faithful Mending,WU,U,1049,29.6,59.7,184,,2
Mourning Patrol,W,C,9781,71.0,59.7,1980,59.0%,4
"Jadar, Ghoulcaller of Nephalia",B,R,2931,87.0,59.6,569,66.1%,4
Manaform Hellkite,R,M,1431,82.5,59.6,241,,4
Rending Flame,R,U,4905,88.6,59.6,890,62.5%,4
Bloodvial Purveyor,B,R,3190,88.5,59.6,562,64.2%,4
Lord of the Forsaken,B,M,1412,86.2,59.6,218,,4
Reckless Stormseeker,R,R,3308,87.9,59.6,616,63.6%,4
Crawl from the Cellar,B,C,8419,63.2,59.5,1410,58.7%,3
Chill of the Grave,U,C,11024,69.6,59.5,2206,57.1%,4
Infernal Grasp,B,U,4175,87.4,59.5,797,58.7%,4
Flare of Faith,W,C,3774,39.5,59.5,633,55.1%,2
Gavony Dawnguard,W,U,4038,85.2,59.5,690,61.7%,4
Circle of Confinement,W,U,4151,86.7,59.5,748,59.6%,4
Candlegrove Witch,W,C,8305,74.0,59.4,1808,62.2%,4
Alluring Suitor,R,U,6386,84.5,59.4,1164,62.8%,4
Vengeful Strangler,B,U,3251,77.5,59.4,647,60.1%,4
Concealing Curtains,B,R,3009,83.1,59.4,517,66.7%,4
Drogskol Infantry,W,C,10542,81.5,59.3,2188,59.3%,4
Clarion Cathars,W,C,4062,41.7,59.3,761,58.9%,2
Haunted Ridge,,R,1557,57.4,59.3,281,,3
Sigarda's Imprisonment,W,C,10092,84.8,59.3,1974,57.4%,4
"Sigarda, Champion of Light",WG,M,1006,71.3,59.2,165,,4
"Thalia, Guardian of Thraben",W,R,1558,74.8,59.2,262,,4
Cathartic Pyre,R,U,4302,87.6,59.2,769,59.9%,4
Stensia Uprising,R,R,3383,82.4,59.2,591,58.9%,4
Neonate's Rush,R,C,8236,55.8,59.2,1676,59.4%,3
Panicked Bystander,W,U,4226,75.9,59.2,788,62.3%,4
"Rem Karolus, Stalwart Slayer",WR,R,1231,50.1,59.1,197,,3
"Geralf, Visionary Stitcher",U,R,4001,89.6,59.1,716,60.6%,4
"Tovolar, Dire Overlord",RG,R,1801,69.9,59.1,348,,4
Poppet Stitcher,U,M,1720,84.9,59.1,310,,4
Bloodtithe Harvester,BR,U,3022,64.7,59.1,576,65.6%,3
Voldaren Bloodcaster,B,R,3234,88.2,59.1,645,65.1%,4
"Odric, Blood-Cursed",WR,R,525,28.8,59.0,80,,2
Fleeting Spirit,W,U,3323,76.5,59.0,672,59.1%,4
Tovolar's Huntmaster,G,R,2952,85.6,59.0,531,63.5%,4
Heron of Hope,W,C,8095,70.6,59.0,1566,56.8%,4
Mirrorhall Mimic,U,R,3957,89.2,58.9,666,58.9%,4
Syncopate,U,C,8230,59.2,58.9,1469,61.4%,3
By Invitation Only,W,R,2598,74.0,58.9,454,,3
Flame-Blessed Bolt,R,C,11029,84.0,58.9,2271,61.1%,4
Eaten Alive,B,C,11974,87.1,58.9,2268,59.5%,4
"Halana and Alena, Partners",RG,R,3227,87.3,58.9,551,70.1%,4
Ritual of Hope,W,U,1596,42.7,58.9,248,,2
Bladestitched Skaab,UB,U,3425,67.8,58.9,705,59.7%,3
Fateful Absence,W,R,2225,85.3,58.9,419,,4
Vanquish the Horde,W,R,2015,70.9,58.9,396,,3
Fell Stinger,B,U,4571,89.5,58.8,808,61.3%,3
Soul-Guide Gryff,W,C,5638,53.0,58.8,986,56.5%,3
Intrepid Adversary,W,M,1421,81.1,58.8,230,,3
Sunrise Cavalier,WR,U,1887,51.0,58.8,334,,3
Phantom Carriage,U,U,3761,68.6,58.8,621,60.2%,3
Voice of the Blessed,W,R,1716,70.8,58.8,310,,3
Geistwave,U,C,7495,54.9,58.8,1348,57.4%,3
Thirst for Discovery,U,U,4646,83.9,58.8,803,55.7%,3
Gavony Silversmith,W,C,8656,80.3,58.7,1662,58.7%,3
Ominous Roost,U,U,1296,28.9,58.7,228,,2
Olivia's Midnight Ambush,B,C,10908,86.0,58.7,2164,60.0%,3
Voldaren Epicure,R,C,8289,67.5,58.7,1741,59.5%,3
Gavony Trapper,W,C,8008,68.5,58.7,1521,59.3%,3
Burn Down the House,R,R,3092,82.9,58.7,534,60.1%,3
"Gisa, Glorious Resurrector",B,R,3009,88.5,58.7,527,57.5%,3
Flame Channeler,R,U,4108,66.0,58.7,767,59.3%,3
Wandering Mind,UR,U,2647,48.6,58.7,559,58.9%,3
Memory Deluge,U,R,3411,84.8,58.6,609,56.0%,3
Arrogant Outlaw,B,C,4948,51.2,58.6,918,57.3%,3
Persistent Specimen,B,C,4039,43.5,58.6,754,55.6%,2
Sacred Fire,WR,U,2320,52.8,58.6,429,,3
Ill-Tempered Loner,R,R,3076,87.1,58.6,522,60.0%,3
Stitched Assistant,U,C,9397,66.1,58.6,1871,56.6%,3
Consider,U,C,7406,56.3,58.6,1453,61.9%,3
Glorious Sunrise,G,R,2840,84.6,58.6,479,,3
Pointed Discussion,B,C,7084,56.7,58.5,1285,58.4%,2
Undead Butler,B,U,3615,80.6,58.5,683,59.6%,3
Cemetery Illuminator,U,M,1647,89.2,58.5,297,,3
Bleed Dry,B,C,11046,87.6,58.5,2092,58.4%,3
"Lier, Disciple of the Drowned",U,M,1273,79.1,58.5,222,,3
Clear Shot,G,U,3699,82.9,58.4,663,58.7%,3
Rite of Oblivion,WB,U,2555,60.4,58.4,428,,2
Hopeful Initiate,W,R,1708,73.1,58.4,318,,3
Markov Waltzer,WR,U,1743,50.0,58.4,322,,2
Wretched Throng,U,C,1779,16.9,58.4,679,57.3%,2
Old Rutstein,BG,R,1675,54.9,58.4,289,,2
Bloodline Culling,B,R,2689,85.3,58.4,473,,3
Kindly Ancestor,W,C,9197,76.7,58.4,1824,59.3%,3
Diregraf Horde,B,C,13528,84.8,58.3,2794,57.8%,3
Moonrager's Slash,R,C,10547,85.5,58.3,2196,56.6%,3
Lunar Frenzy,R,U,4162,80.9,58.3,688,60.0%,3
Rot-Tide Gargantua,B,C,6630,64.0,58.3,1148,56.8%,2
Candletrap,W,C,5433,60.7,58.3,1041,55.6%,2
Thermo-Alchemist,R,U,4062,76.0,58.3,736,63.3%,3
Patrician Geist,U,R,2803,76.6,58.3,491,,3
Dreadhound,B,U,4153,85.8,58.2,642,60.7%,3
Dawnhart Mentor,G,U,3455,74.1,58.2,631,59.7%,3
Defenestrate,B,C,10639,88.1,58.2,2040,58.1%,3
Augur of Autumn,G,R,2729,85.0,58.2,512,62.7%,3
Ascendant Packleader,G,R,1618,73.9,58.2,278,,3
Vampire Socialite,BR,U,2336,65.0,58.2,492,,2
Desperate Farmer,B,C,8989,77.8,58.2,1704,57.7%,3
Ulvenwald Oddity,G,R,2478,85.1,58.2,432,,3
Diregraf Scavenger,B,C,10976,83.8,58.2,2232,56.0%,3
Light Up the Night,R,R,3636,87.1,58.2,637,58.9%,3
Siege Zombie,B,C,10706,79.5,58.2,2260,60.2%,3
Deserted Beach,,R,1622,54.9,58.1,306,,2
Reckless Impulse,R,C,7615,59.4,58.1,1475,56.4%,2
Dominating Vampire,R,R,1409,61.0,58.1,242,,2
Repository Skaab,U,C,7572,55.3,58.0,1345,55.7%,2
Hound Tamer,G,U,4042,83.1,58.0,782,56.3%,3
Festival Crasher,R,C,7440,55.1,58.0,1820,59.2%,2
Syphon Essence,U,C,6716,47.9,58.0,1239,56.8%,2
Cruel Witness,U,C,8077,62.8,58.0,1469,59.3%,2
Binding Geist,U,C,7457,52.7,58.0,1432,57.7%,2
"Eruth, Tormented Prophet",UR,R,1887,53.2,58.0,353,,2
Consuming Blob,G,M,1511,84.9,58.0,296,,3
Selhoff Entomber,U,C,3311,25.8,58.0,672,59.1%,1
Gluttonous Guest,B,C,7456,68.3,57.9,1584,55.8%,2
Hobbling Zombie,B,C,8967,82.5,57.9,1786,57.2%,3
Outland Liberator,G,U,3936,86.4,57.9,779,58.8%,3
Shipwreck Marsh,,R,1887,64.8,57.9,362,,2
Play with Fire,R,U,3857,84.1,57.9,724,61.6%,3
Loyal Gryff,W,U,2423,71.1,57.9,409,,3
Briarbridge Tracker,G,R,2731,82.9,57.9,488,,3
Sundown Pass,,R,1165,45.4,57.9,207,,2
Delver of Secrets,U,U,1985,44.0,57.8,420,,2
Tainted Adversary,B,M,1399,87.4,57.8,265,,3
Falkenrath Celebrants,R,C,11109,77.2,57.8,2163,56.9%,3
Curse of Leeches,B,R,2111,82.3,57.8,381,,3
Mindleech Ghoul,B,C,5882,56.0,57.8,1194,57.9%,2
Shattered Sanctum,,R,1542,57.2,57.8,298,,2
Blood Petal Celebrant,R,C,7392,73.0,57.8,1549,58.9%,2
Spore Crawler,G,C,6947,69.5,57.7,1420,58.8%,2
"Anje, Maid of Dishonor",BR,R,3314,79.6,57.7,551,59.2%,3
Winterthorn Blessing,UG,U,2256,43.8,57.7,407,,2
Eccentric Farmer,G,C,9175,65.0,57.7,2076,60.1%,2
Belligerent Guest,R,C,5198,56.7,57.7,1000,58.1%,2
Catapult Fodder,B,U,2737,55.1,57.7,545,54.5%,2
Silver Bolt,,C,10839,70.6,57.7,2027,55.6%,2
Kessig Wolfrider,R,R,1892,76.1,57.7,313,,3
Bat Whisperer,B,C,3129,33.8,57.7,553,55.3%,1
Smoldering Egg,R,R,2406,69.8,57.6,436,,2
Burn the Accursed,R,C,9169,80.2,57.6,1710,55.3%,3
Hero's Downfall,B,U,3753,88.8,57.6,744,57.3%,3
Famished Foragers,R,C,4449,44.4,57.6,818,56.5%,2
Alchemist's Retrieval,U,C,5607,43.3,57.6,978,57.3%,2
Sigardian Savior,W,M,1222,80.5,57.6,194,,3
Wrenn and Seven,G,M,1361,85.0,57.6,260,,3
Obsessive Astronomer,R,U,3637,74.9,57.6,704,56.4%,3
Reclusive Taxidermist,G,U,3703,83.3,57.6,720,62.4%,3
Piercing Light,W,C,2363,30.9,57.6,409,,1
"Edgar, Charmed Groom",WB,R,2834,83.3,57.6,523,59.7%,3
Rootcoil Creeper,UG,U,2433,51.3,57.6,543,59.5%,2
"Ludevic, Necrogenius",UB,R,2152,64.2,57.6,415,,2
Whispering Wizard,U,U,3519,73.6,57.6,663,58.7%,2
Daybreak Combatants,R,C,1338,16.4,57.5,231,,1
Homestead Courage,W,C,3204,37.7,57.5,585,58.5%,1
Headless Rider,B,R,2895,83.1,57.5,503,61.4%,3
Cobbled Lancer,U,U,2365,49.9,57.5,365,,2
Wash Away,U,U,1021,27.3,57.5,160,,1
Lambholt Harrier,R,C,5079,50.7,57.5,990,55.6%,2
Geistflame Reservoir,R,R,1609,50.3,57.5,298,,2
Kessig Flamebreather,R,C,7466,61.0,57.5,1675,57.8%,2
Voldaren Stinger,R,C,5115,50.4,57.5,1008,60.3%,2
Novice Occultist,B,C,6782,66.2,57.4,1376,55.9%,2
Vampire Slayer,W,C,2245,25.2,57.4,402,,1
Heron-Blessed Geist,W,C,3116,36.8,57.4,563,53.3%,1
Restless Bloodseeker,B,U,3420,71.1,57.4,664,60.2%,2
Dollhouse of Horrors,,R,3820,90.9,57.4,636,55.8%,3
Bloodthirsty Adversary,R,M,1245,82.2,57.3,224,,3
"Jacob Hauken, Inspector",U,M,1878,86.0,57.3,336,,3
Storm the Festival,G,R,1266,61.0,57.3,179,,2
"Katilda, Dawnhart Prime",WG,R,2105,66.6,57.3,410,,2
Archghoul of Thraben,B,U,2884,70.6,57.3,580,57.6%,2
Harvesttide Sentry,G,C,7105,66.5,57.3,1543,55.8%,2
Blood Pact,B,C,2780,31.6,57.3,486,,1
Jack-o'-Lantern,,C,5321,33.1,57.3,1074,54.0%,1
Shadowbeast Sighting,G,C,8567,74.7,57.3,1741,55.8%,3
Sunstreak Phoenix,R,M,1388,84.0,57.3,255,,3
Rise of the Ants,G,U,3747,72.0,57.3,652,58.7%,2
"Jerren, Corrupted Bishop",B,M,1240,84.4,57.3,210,,3
Wedding Invitation,,C,4644,32.5,57.3,957,58.1%,1
Vampire Interloper,B,C,5346,62.0,57.2,1157,58.8%,2
Seize the Storm,R,U,3391,55.4,57.2,654,52.0%,1
Falkenrath Perforator,R,C,5076,52.7,57.2,1064,54.7%,1
"Saryth, the Viper's Fang",G,R,2140,80.9,57.1,355,,3
Creepy Puppeteer,R,R,3049,79.9,57.1,542,61.8%,3
Gift of Fangs,B,C,4747,56.2,57.1,887,55.4%,1
Deathcap Glade,,R,1038,46.5,57.1,216,,1
Courier Bat,B,C,4541,48.2,57.1,816,54.3%,1
Secrets of the Key,U,C,2241,18.6,57.1,363,,1
Brimstone Vandal,R,C,3299,37.0,57.1,649,54.1%,1
Massive Might,G,C,5221,50.4,57.1,927,55.0%,1
Militia Rallier,W,C,2081,24.8,57.1,352,,1
Bloodcrazed Socialite,B,C,7161,65.9,57.1,1351,56.0%,2
Join the Dance,WG,U,1165,36.0,57.1,202,,1
Dawnhart Wardens,WG,U,1756,53.6,57.1,347,,1
Adamant Will,W,C,3938,44.4,57.1,642,56.1%,1
Dawnhart Disciple,G,C,5200,53.2,57.1,1151,57.5%,1
Deathbonnet Sprout,G,U,4095,67.3,57.0,864,59.5%,2
Hungry Ridgewolf,R,C,4786,50.3,57.0,1088,57.8%,0
Fearful Villager,R,C,5781,56.7,57.0,1192,56.7%,1
Vilespawn Spider,UG,U,2178,45.1,57.0,464,,0
Mask of Griselbrand,B,R,2389,80.4,57.0,414,,3
Galedrifter,U,C,8676,61.3,57.0,1639,55.6%,2
Runebound Wolf,R,U,1972,61.1,57.0,398,,2
Parish-Blade Trainee,W,C,3095,43.7,57.0,629,57.9%,0
Child of the Pack,RG,U,3094,70.0,57.0,588,52.2%,2
Dissipate,U,U,1691,41.5,56.9,268,,0
Covert Cutpurse,B,U,2650,68.8,56.9,474,,2
Falkenrath Forebear,B,R,2619,83.9,56.9,496,,3
Cradle of Safety,U,C,4341,34.4,56.9,712,54.6%,0
Wolf Strike,G,C,8505,83.0,56.9,1659,58.2%,3
Hungry for More,BR,U,1511,45.2,56.9,290,,1
Fangblade Brigand,R,U,4357,79.6,56.9,800,56.6%,3
Alchemist's Gambit,R,R,515,21.1,56.9,78,,0
Weaver of Blossoms,G,C,9082,82.3,56.9,1928,58.4%,3
Flourishing Hunter,G,C,7339,70.3,56.9,1295,54.5%,2
Cemetery Gatekeeper,R,M,995,78.3,56.9,200,,3
Electric Revelation,R,C,4735,40.2,56.9,840,56.0%,0
Olivia's Attendants,R,R,3407,86.3,56.8,537,53.6%,3
Ballista Watcher,R,U,5358,83.8,56.8,939,54.2%,3
Bramble Wurm,G,U,3468,80.9,56.8,555,59.6%,3
Path of Peril,B,R,1624,64.7,56.8,302,,2
Ardent Elementalist,R,C,5082,47.7,56.8,891,54.7%,1
Tapping at the Window,G,C,1230,13.4,56.7,223,,1
Gryff Rider,W,C,4015,54.4,56.7,799,55.3%,1
Inspired Idea,U,R,2598,68.5,56.7,459,,2
Might of the Old Ways,G,C,2896,32.0,56.7,423,,1
Stolen Vitality,R,C,4285,43.7,56.7,772,57.1%,1
Infestation Expert,G,U,4140,77.0,56.7,702,58.7%,3
Avabruck Caretaker,G,M,1476,84.7,56.7,268,,3
Graf Reaver,B,R,822,41.2,56.7,159,,1
Primal Adversary,G,M,1226,80.8,56.7,211,,3
